Name,Passport,Snils,Symptoms,Analysis,Doctor,DateStart,DateEnd,Price,Card
Одинцов‎ Велимудр Прокопович,7922 111620,335-332-550 51,Головная боль|Кашель|Температура|Боль в горле|Насморк|Заболевания кишечника,УЗИ (ультразвуковое исследование)|Электрокардиограмма (ЭКГ)|Рентгенография|Эзофагогастродуоденоскопия,Эндоскопист,2024-07-30T19:46+03:00,2024-07-31T19:44+03:00,9800,2200 7038 5941 4033
Фадеев‎ Путислав Исаевич,9805 272611,530-910-223 40,Затрудненное дыхание|Слабость|Повышенное давление|Головная боль|Боль в груди|Сахарный диабет,Гастроэнтероскопия|УЗИ (ультразвуковое исследование)|Электрокардиограмма (ЭКГ)|Анализ крови на уровень глюкозы,Эндокринолог,2023-12-28T19:16+03:00,2023-12-29T19:19+03:00,3300,2200 7002 3196 5713
Карасёв‎ Торчин Юрьевич,8314 180068,065-229-958 85,Затрудненное дыхание|Боль в горле|Повышенное давление|Температура|Кашель|Избыточный вес,Рентгенография|Биохимический анализ крови|Кровь (общий анализ)|Анализ крови на уровень липидов,Диетолог,2024-04-30T18:51+03:00,2024-05-01T19:13+03:00,7100,2202 1526 1927 4391
Москвин‎ Вацлав Венедиктович,6706 615214,530-713-863 66,Боль в груди|Насморк|Боль в горле|Повышенное давление|Слабость|Кровотечения,КТ (компьютерная томография)|Кровь (общий анализ)|МРТ (магнитно-резонансная томография)|Анализ крови на онкомаркеры,Онкогинеколог,2024-09-19T20:01+03:00,2024-09-20T19:19+03:00,3500,5244 6828 7710 5039
Коновалов‎ Добровлад Никодимович,2711 179542,078-508-317 91,Кашель|Насморк|Температура|Повышенное давление|Затрудненное дыхание|Расстройство пищеварения,Кровь (общий анализ)|Рентгенография|КТ (компьютерная томография)|Уровень желудочной кислоты,Гастроэнтеролог,2024-09-24T19:05+03:00,2024-09-25T19:40+03:00,8200,4276 8068 5894 0963
Игнатьев‎ Четвертак Леонидович,4603 862422,649-616-826 46,Насморк|Боль в горле|Одышка|Кашель|Температура|Запоры,Кровь (общий анализ)|Гастроэнтероскопия|Электрокардиограмма (ЭКГ)|Фиброколоноскопия,Гастроэнтеролог,2024-07-18T19:45+03:00,2024-07-19T20:14+03:00,4800,5101 2654 4679 6026
Власова Добромира Денисовна,3408 551925,249-163-276 86,Повышенное давление|Головная боль|Одышка|Кашель|Боль в горле|Поражение сердца,Рентгенография|УЗИ (ультразвуковое исследование)|Биохимический анализ крови|Электрокардиография,Кардиоревматолог,2024-06-10T19:15+03:00,2024-06-11T19:40+03:00,2700,2200 7097 0546 8564
Жириновская Умила Ахматовна,0420 290724,502-984-441 89,Температура|Кашель|Затрудненное дыхание|Повышенное давление|Боль в груди|Ревматоидный артрит,Кровь (общий анализ)|Рентгенография|Биохимический анализ крови|Ревматоидный фактор в крови,Ревматолог,2024-04-30T19:17+03:00,2024-05-01T20:03+03:00,5900,5421 0475 3690 3635
Петров‎ Яробуд Антонович,6914 522635,202-838-174 47,Затрудненное дыхание|Насморк|Кашель|Боль в груди|Температура|Ограничение подвижности суставов,Гастроэнтероскопия|Рентгенография|Кровь (общий анализ)|Электромиография,Физиотерапевт,2023-12-28T19:14+03:00,2023-12-29T20:17+03:00,2200,4188 6892 5193 5380
Анисимова Василиса Валентиновна,7123 889545,649-741-518 38,Кашель|Повышенное давление|Слабость|Одышка|Насморк|Кровотечения,Гастроэнтероскопия|Рентгенография|МРТ (магнитно-резонансная томография)|Анализ крови на онкомаркеры,Онкогинеколог,2024-05-02T19:42+03:00,2024-05-03T20:17+03:00,3500,2202 1508 8800 3132
Федосова Казимира Сергеевна,9306 123186,182-077-405 66,Повышенное давление|Насморк|Слабость|Одышка|Затрудненное дыхание|Одышка,Биохимический анализ крови|Электрокардиограмма (ЭКГ)|Кровь (общий анализ)|Спирометрия,Пульмонолог,2024-04-23T20:08+03:00,2024-04-24T20:05+03:00,9700,2202 1527 0733 0737
Золотарева Воислава Сахипзадовна,2313 432296,624-645-933 08,Головная боль|Температура|Одышка|Повышенное давление|Боль в горле|Нарушение слуха,Электрокардиограмма (ЭКГ)|УЗИ (ультразвуковое исследование)|Рентгенография|Ринофиброларингоскопия,Лор,2024-08-02T18:48+03:00,2024-08-04T19:07+03:00,1200,2200 7094 1568 2109
Филимонов‎ Часлав Евдокимович,3207 150763,769-660-707 66,Боль в груди|Кашель|Насморк|Слабость|Одышка|Повышенное давление,МРТ (магнитно-резонансная томография)|Гастроэнтероскопия|Электрокардиограмма (ЭКГ)|ЭКГ (электрокардиограмма),Кардиолог,2024-08-29T18:43+03:00,2024-08-30T19:17+03:00,3000,4276 8090 0633 2139
Зуева Божидара Соломоновна,0619 064178,334-036-217 32,Кашель|Боль в горле|Температура|Боль в груди|Повышенное давление|Кровотечения,УЗИ (ультразвуковое исследование)|Электрокардиограмма (ЭКГ)|Биохимический анализ крови|Анализ крови на онкомаркеры,Онкогинеколог,2024-07-12T19:00+03:00,2024-07-14T19:35+03:00,1800,5101 2688 6750 1086
Игнатьева Уйка Акимовна,5419 420667,688-635-749 81,Слабость|Кашель|Боль в горле|Боль в груди|Одышка|Затуманенное зрение,Гастроэнтероскопия|Электрокардиограмма (ЭКГ)|Кровь (общий анализ)|Зрение на дальность,Офтальмолог,2024-07-31T19:05+03:00,2024-08-01T18:47+03:00,5200,5244 6889 5755 1564
Егорова Часлава Георгиевна,0216 313912,984-937-592 02,Повышенное давление|Затрудненное дыхание|Слабость|Одышка|Головная боль|Бессонница,Биохимический анализ крови|УЗИ (ультразвуковое исследование)|Кровь (общий анализ)|Клиническое интервью,Психотерапевт,2024-02-29T19:35+03:00,2024-03-01T19:42+03:00,1600,2200 2413 5691 0653
Тихонова Передслава Иосифовна,9416 614758,356-609-229 99,Боль в горле|Боль в груди|Головная боль|Насморк|Кашель|Кровоточивость десен,МРТ (магнитно-резонансная томография)|Рентгенография|УЗИ (ультразвуковое исследование)|Клинический анализ крови,Стоматолог,2024-04-19T19:19+03:00,2024-04-21T18:40+03:00,7500,4276 8099 4349 1826
Трофимова Малуша Гавриловна,0315 854059,224-944-371 75,Затрудненное дыхание|Головная боль|Боль в груди|Температура|Кашель|Аритмия,Гастроэнтероскопия|Биохимический анализ крови|Кровь (общий анализ)|ЭКГ суточное мониторирование,Кардиолог,2024-03-13T19:28+03:00,2024-03-14T20:25+03:00,2900,5101 2634 0003 3484
Чёрный‎ Скалогром Иванович,0111 630939,061-793-194 78,Кашель|Боль в горле|Повышенное давление|Головная боль|Насморк|Нарушение зонтичного слуха,Биохимический анализ крови|УЗИ (ультразвуковое исследование)|Кровь (общий анализ)|Аудиометрия,Оториноларинголог,2024-07-18T18:34+03:00,2024-07-19T20:20+03:00,9900,2202 1548 7808 5243
Борисова Томила Григорьевна,4620 264814,176-219-642 87,Боль в горле|Слабость|Головная боль|Боль в груди|Одышка|Частое мочеиспускание,МРТ (магнитно-резонансная томография)|Кровь (общий анализ)|Гастроэнтероскопия|УЗИ органов мочевыделительной системы,Уролог,2024-01-19T19:00+03:00,2024-01-21T18:41+03:00,8500,2200 7059 2002 6817
Зимин‎ Беримир Харлампович,1904 425539,526-845-466 19,Слабость|Головная боль|Боль в горле|Температура|Боль в груди|Ограничение подвижности суставов,Гастроэнтероскопия|МРТ (магнитно-резонансная томография)|Кровь (общий анализ)|Электромиография,Физиотерапевт,2024-08-15T19:08+03:00,2024-08-16T18:36+03:00,2000,4276 8052 6963 1585
Афанасьев‎ Святослав Захарьевич,9220 413947,152-797-091 96,Температура|Боль в горле|Боль в груди|Головная боль|Затрудненное дыхание|Частые мочевые инфекции,Биохимический анализ крови|Гастроэнтероскопия|Электрокардиограмма (ЭКГ)|Анализ мочи на бактерии,Нефролог,2024-05-17T20:07+03:00,2024-05-19T19:01+03:00,5800,4276 8038 4421 8811
